artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,track_name,track_preview_url,track_number,type,track_uri,is_local,external_urls.spotify,album_name,key_name,mode_name,key_mode
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0tvOiqQkHp6bqYzzPfPc4B,album,,2024-05-17,2024,day,0.53,0.47,11,-8.878,0,0.219,0.572,4.79e-5,0.108,0.649,91.871,6Z33AqyrwF4OBW18fFPdoB,https://api.spotify.com/v1/audio-analysis/6Z33AqyrwF4OBW18fFPdoB,4,,,1,145626,TRUE,https://api.spotify.com/v1/tracks/6Z33AqyrwF4OBW18fFPdoB,I Already Know,https://p.scdn.co/mp3-preview/12dc83dcbeeca31a077dcd4ab387a999c8534272?cid=fa302d336c68442a9c10250efda1f07a,21,track,spotify:track:6Z33AqyrwF4OBW18fFPdoB,FALSE,https://open.spotify.com/track/6Z33AqyrwF4OBW18fFPdoB,Better Off Alone,B,minor,B minor
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,2vM2H6lyPfitmNZlc1Vrxv,album,,2022-12-12,2022,day,0.489,0.548,0,-7.907,0,0.271,0.108,0,0.0865,0.68,146.33,1Pgu551wrKnGA82NiytP9G,https://api.spotify.com/v1/audio-analysis/1Pgu551wrKnGA82NiytP9G,4,,,1,206294,TRUE,https://api.spotify.com/v1/tracks/1Pgu551wrKnGA82NiytP9G,Needed That,https://p.scdn.co/mp3-preview/27e78b4fc9de3b49530c9e66be5351aa5b676d36?cid=fa302d336c68442a9c10250efda1f07a,1,track,spotify:track:1Pgu551wrKnGA82NiytP9G,FALSE,https://open.spotify.com/track/1Pgu551wrKnGA82NiytP9G,Me vs. Myself,C,minor,C minor
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,2vM2H6lyPfitmNZlc1Vrxv,album,,2022-12-12,2022,day,0.437,0.694,5,-6.942,0,0.177,0.0989,0,0.23,0.107,90.562,56NuoCu3xW9QwR2EtDtTJQ,https://api.spotify.com/v1/audio-analysis/56NuoCu3xW9QwR2EtDtTJQ,4,,,1,174218,TRUE,https://api.spotify.com/v1/tracks/56NuoCu3xW9QwR2EtDtTJQ,Food for Thought,https://p.scdn.co/mp3-preview/edf76147f0f2ff8849c5f808237f36c65ee37d48?cid=fa302d336c68442a9c10250efda1f07a,2,track,spotify:track:56NuoCu3xW9QwR2EtDtTJQ,FALSE,https://open.spotify.com/track/56NuoCu3xW9QwR2EtDtTJQ,Me vs. Myself,F,minor,F minor
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,2vM2H6lyPfitmNZlc1Vrxv,album,,2022-12-12,2022,day,0.474,0.735,2,-7.427,0,0.313,0.115,0,0.0696,0.284,93.702,3wJdRtq7bgSvO85aTn4qpq,https://api.spotify.com/v1/audio-analysis/3wJdRtq7bgSvO85aTn4qpq,4,,,1,178041,TRUE,https://api.spotify.com/v1/tracks/3wJdRtq7bgSvO85aTn4qpq,B.R.O. (Better Ride Out) [feat. Roddy Ricch],https://p.scdn.co/mp3-preview/9ee8295408929542997f8f56616afc5dd4b517c5?cid=fa302d336c68442a9c10250efda1f07a,3,track,spotify:track:3wJdRtq7bgSvO85aTn4qpq,FALSE,https://open.spotify.com/track/3wJdRtq7bgSvO85aTn4qpq,Me vs. Myself,D,minor,D minor
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,2vM2H6lyPfitmNZlc1Vrxv,album,,2022-12-12,2022,day,0.63,0.505,10,-4.923,0,0.244,0.0331,0,0.0713,0.578,92.537,6ISN7qvnXR0EdxE0l7vTRK,https://api.spotify.com/v1/audio-analysis/6ISN7qvnXR0EdxE0l7vTRK,4,,,1,281985,TRUE,https://api.spotify.com/v1/tracks/6ISN7qvnXR0EdxE0l7vTRK,Take Shots (feat. Tory Lanez),https://p.scdn.co/mp3-preview/2599a089aa81ef805d16a61f0935deba72f2b9e1?cid=fa302d336c68442a9c10250efda1f07a,4,track,spotify:track:6ISN7qvnXR0EdxE0l7vTRK,FALSE,https://open.spotify.com/track/6ISN7qvnXR0EdxE0l7vTRK,Me vs. Myself,A#,minor,A# minor
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,2vM2H6lyPfitmNZlc1Vrxv,album,,2022-12-12,2022,day,0.855,0.603,0,-5.488,1,0.284,0.0392,0,0.105,0.494,129.976,3xXI0QxPxPnexMc8wxPOYA,https://api.spotify.com/v1/audio-analysis/3xXI0QxPxPnexMc8wxPOYA,4,,,1,206769,TRUE,https://api.spotify.com/v1/tracks/3xXI0QxPxPnexMc8wxPOYA,Water (Drowning Pt. 2) [feat. Kodak Black],https://p.scdn.co/mp3-preview/1b489ef02c212951c82a49a2652bf124846ec12a?cid=fa302d336c68442a9c10250efda1f07a,5,track,spotify:track:3xXI0QxPxPnexMc8wxPOYA,FALSE,https://open.spotify.com/track/3xXI0QxPxPnexMc8wxPOYA,Me vs. Myself,C,major,C major
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,2vM2H6lyPfitmNZlc1Vrxv,album,,2022-12-12,2022,day,0.718,0.741,4,-5.335,0,0.29,0.0473,0,0.0563,0.365,174.107,6GYWvz3bRmKXjZPiOpTt1Y,https://api.spotify.com/v1/audio-analysis/6GYWvz3bRmKXjZPiOpTt1Y,4,,,1,191861,TRUE,https://api.spotify.com/v1/tracks/6GYWvz3bRmKXjZPiOpTt1Y,Money Conversations,https://p.scdn.co/mp3-preview/9685364fcce9b454d6310efb278127ba4427ed5e?cid=fa302d336c68442a9c10250efda1f07a,6,track,spotify:track:6GYWvz3bRmKXjZPiOpTt1Y,FALSE,https://open.spotify.com/track/6GYWvz3bRmKXjZPiOpTt1Y,Me vs. Myself,E,minor,E minor
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,2vM2H6lyPfitmNZlc1Vrxv,album,,2022-12-12,2022,day,0.689,0.569,8,-6.619,0,0.205,0.0409,1.94e-6,0.112,0.191,95.066,3O3CiYc3YMcHaa87BaZOEs,https://api.spotify.com/v1/audio-analysis/3O3CiYc3YMcHaa87BaZOEs,4,,,1,185201,TRUE,https://api.spotify.com/v1/tracks/3O3CiYc3YMcHaa87BaZOEs,Turn Off The Radio,https://p.scdn.co/mp3-preview/e6732d918021c9eef9b887429ea8097aafb80934?cid=fa302d336c68442a9c10250efda1f07a,7,track,spotify:track:3O3CiYc3YMcHaa87BaZOEs,FALSE,https://open.spotify.com/track/3O3CiYc3YMcHaa87BaZOEs,Me vs. Myself,G#,minor,G# minor
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,2vM2H6lyPfitmNZlc1Vrxv,album,,2022-12-12,2022,day,0.738,0.582,5,-7.196,0,0.167,0.423,0,0.117,0.696,97.025,5rDt0wjt4BrYGrveWoIKXB,https://api.spotify.com/v1/audio-analysis/5rDt0wjt4BrYGrveWoIKXB,4,,,1,179209,TRUE,https://api.spotify.com/v1/tracks/5rDt0wjt4BrYGrveWoIKXB,Last Time (feat. G Herbo),https://p.scdn.co/mp3-preview/0cc745978094395413fe739220b97e40c96f533e?cid=fa302d336c68442a9c10250efda1f07a,8,track,spotify:track:5rDt0wjt4BrYGrveWoIKXB,FALSE,https://open.spotify.com/track/5rDt0wjt4BrYGrveWoIKXB,Me vs. Myself,F,minor,F minor
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,2vM2H6lyPfitmNZlc1Vrxv,album,,2022-12-12,2022,day,0.661,0.717,6,-6.472,1,0.137,0.0781,0,0.201,0.434,100.916,06Z59wvGa3WSMdaYC2dmOE,https://api.spotify.com/v1/audio-analysis/06Z59wvGa3WSMdaYC2dmOE,4,,,1,216237,TRUE,https://api.spotify.com/v1/tracks/06Z59wvGa3WSMdaYC2dmOE,I Need It,https://p.scdn.co/mp3-preview/861fa957169ffab67d0259a2e86c1a98e5baa949?cid=fa302d336c68442a9c10250efda1f07a,9,track,spotify:track:06Z59wvGa3WSMdaYC2dmOE,FALSE,https://open.spotify.com/track/06Z59wvGa3WSMdaYC2dmOE,Me vs. Myself,F#,major,F# major
